"id","userID","accessCode","task","post_nihScore","post_nihAccuracy","post_nihRTScore"
1643,16786,"FA18UCpost","flanker",7.92299,5,2.92299
1644,16786,"FA18UCpost","flanker",7.92299,5,2.92299
1645,16785,"FA18UCpost","flanker",8.1272,5,3.12721
1646,16784,"FA18UCpost","flanker",7.34877,5,2.58686
1647,16783,"FA18UCpost","flanker",7.96697,5,2.96697
1648,16783,"FA18UCpost","flanker",7.96697,5,2.96697
1649,16782,"FA18UCpost","flanker",5.68213,5,1.15832
1650,16780,"FA18UCpost","flanker",8.22165,5,3.22165
1651,16779,"FA18UCpost","flanker",7.52664,5,2.52664
1652,16778,"FA18UCpost","flanker",8.10888,5,3.10888
1653,16777,"FA18UCpost","flanker",8.38936,5,3.38936
1654,16777,"FA18UCpost","flanker",8.38936,5,3.38936
1655,16776,"FA18UCpost","flanker",8.13997,5,3.25902
1656,16776,"FA18UCpost","flanker",8.31128,5,3.43033
1657,16775,"FA18UCpost","flanker",7.29553,5,2.41748
1658,16774,"FA18UCpost","flanker",7.95626,5,2.95626
1659,16773,"FA18UCpost","flanker",5,5,0
1660,16771,"FA18UCpost","flanker",7.70752,5,3.06467
1661,16771,"FA18UCpost","flanker",7.70752,5,3.06467
1662,16770,"FA18UCpost","flanker",5,5,0
1663,16770,"FA18UCpost","flanker",7.16148,4,3.11386
1664,17247,"FA18UCpost","flanker",7.76552,4,3.7179
